RUN,PLNSGAII,NSGAII,NSGA-III,MOEAD,SCHMIEDLE
1.0,9.614927502149427e-10,0.5726612053734689,0.5756702256820031,0.05923773859248683,0.5757899968909634
2.0,3.1916529214939765e-10,0.5737258823779255,0.5979884269318895,0.05283287439013305,0.6004947701862057
3.0,5.902656713432179e-10,0.5736058632499966,0.5766102034815841,0.056660235390879735,0.5767340419025769
4.0,2.3889947276691324e-10,0.5675751266689958,0.5915882762162122,0.05317365852013757,0.5940693366795834
5.0,7.992289114054866e-11,0.5706856748491965,0.5736963646572114,0.05454489742316909,0.5738180070777122
6.0,3.7968689526222084e-10,0.5519086593544748,0.5756448572517734,0.051155068909754596,0.5780972406230601
7.0,3.2679849598250566e-10,0.5706871984991486,0.5736639454515783,0.05856158060996948,0.5737866878346914
8.0,4.249955612410877e-6,0.29855383803802404,0.3113429226281895,0.10003560532088406,0.2694667970291733
9.0,6.558554382334517e-11,0.5606024761489431,0.5635493514266599,0.06160850073556535,0.56366227432843
10.0,2.376485111749557e-10,0.530392742853876,0.5535346823934356,0.04845723684234992,0.5559272364235438
11.0,5.161020619474532e-10,0.570360065659179,0.5733442197469296,0.05701937424580338,0.5734688485757181
12.0,6.018449346910035e-8,0.30304034891199416,0.3161325331789403,0.0992402976660994,0.3174834218863661
13.0,8.232769841195407e-10,0.568830759888929,0.5718221001683863,0.057886404880004474,0.57194213747795
14.0,6.476901702447421e-10,0.5457902399639777,0.5691769773040047,0.05231211153604447,0.571597046860101
15.0,2.4386188842443524e-10,0.5725798890660478,0.5755615881738225,0.05886706806076571,0.5756837549026562
16.0,1.181089196614985e-9,0.5400815631726223,0.5632612380294533,0.051431488188951886,0.565660392844003
17.0,8.227455617865102e-10,0.38870291374543614,0.5798852483870917,0.0847021964952513,0.5802896702271317
18.0,2.32574108144238e-6,0.3062494246717857,0.30611811471089245,0.09991268376551603,0.29002888799617416
19.0,3.83714550765068e-8,0.22106684675826085,0.32665524164949994,0.21440389289897188,0.32687869170096484
20.0,7.091062524730889e-11,0.5749728177425396,0.5747266708473602,0.05067555821581205,0.5749920105813173
21.0,1.597375750381356e-5,0.20733195329058873,0.30744742482203236,0.21473704535330856,0.26547970964663214
22.0,1.596535110671846e-8,0.5809634667013184,0.5807140437202132,0.04923420872625612,0.5809831122962127
23.0,2.3631317939154273e-10,0.38471155998379547,0.5762658746198462,0.08366440431414114,0.5766705349307791
24.0,4.4372251059276255e-10,0.5699130201110667,0.569667978269007,0.04917112800427971,0.5699324583705896
25.0,2.552008461342797e-10,0.37766924731635626,0.5706676096556692,0.08447825513837337,0.5710702585628519
26.0,4.141429078982164e-6,0.33431154699966587,0.3341716662024625,0.10068831185574127,0.31622452816576674
27.0,2.0538732851769536e-10,0.37270447373689686,0.5742218970954073,0.08709776474219623,0.5746249746730454
28.0,2.2171843719927916e-9,0.6034260989769896,0.6031721647398375,0.05224269325845891,0.6034462610551553
29.0,1.535645564521188e-5,0.2068647419191595,0.3103107828603949,0.21744350170034427,0.293574096589933
30.0,1.2553215514432147e-9,0.5675235201704165,0.5672791878605825,0.0465517727478573,0.5675428410085042
31.0,7.391869350247729e-10,0.37847832982987434,0.5660601479560682,0.08419798082367247,0.5664605788274526
32.0,1.6041178554337128e-10,0.5775199298570233,0.57727247169704,0.0496191464910214,0.5775395416907926
33.0,2.404382420123646e-10,0.5264516042916652,0.5520252396346756,0.05380489712123619,0.5535393432174102
34.0,5.48001120431515e-8,0.5310863700749412,0.5939185951123588,0.08094739394093672,0.5976636701321856
35.0,2.42715021155363e-9,0.5602029194146991,0.5866061207726087,0.053228980225504235,0.588169988220556
36.0,3.2286540537377153e-10,0.5231199737019182,0.5728881715905386,0.08549759851456941,0.5765467286001593
37.0,3.319206846587273e-8,0.5425211965842022,0.5687277851962431,0.050112846175503774,0.5702803120062809
38.0,7.019236098165536e-6,0.27750916947310267,0.30122574134103836,0.21192958732093356,0.28596009051827154
39.0,6.509182523703364e-10,0.5561567181046249,0.5825233146616243,0.05845477575247041,0.5840867072540873
40.0,2.5136187107684627e-10,0.5132141010687906,0.5628844832227299,0.08286140517436773,0.5665099918671762
41.0,6.570849708832527e-6,0.30411937811911177,0.31866356753700475,0.10165912168745561,0.30176411291090605
42.0,2.1158648089995204e-9,0.5136239302730378,0.5626632332177155,0.08748738838678351,0.5662716348951647
43.0,3.3973159852571395e-8,0.5568350260486965,0.5832581898068864,0.05347437766881798,0.5848282073421806
44.0,2.0641000868539717e-10,0.5237769831943107,0.571152815829381,0.08259074187235003,0.5748076704237202
45.0,1.692370602936192e-10,0.5212623317725805,0.5467417854194412,0.05081639305410642,0.5482533356162327
46.0,1.232043400357116e-9,0.524697776911971,0.5747570919703707,0.08290601569312613,0.5784318531055747
47.0,3.3191623889656653e-10,0.530756066876071,0.5566261988175102,0.05026735243548394,0.5581596347109696
48.0,5.381304984865587e-10,0.5064888877719371,0.5559974796067817,0.08522227025508286,0.559587556719137
49.0,5.969575539505448e-10,0.5857143044992484,0.5832782798646338,0.04978955915826203,0.5858197052500587
50.0,3.613363228060769e-11,0.5324464510984676,0.5444395582105503,0.050651844457184646,0.5484787077713711
